Date,BRL,TRY,HUF,CHF,CAD,AUD,EUR,NOK,CZK,PLN,GBP,KRW,TWD,JPY,MXN,SEK,ZAR,NZD,SGD
2004-12-09,0.35588455105163885,0.6787548378251067,0.005341167044999332,0.8711066975038438,0.8181531828204195,0.7528050000000001,1.3322299999999998,0.1614022628597253,0.04325521441609786,0.31658092599920856,1.923644,0.000946521533364884,0.03135287662643048,0.00958114124805862,0.0883158173628897,0.14840868784458644,0.1714898177920686,0.707725,0.6074835903495157
2004-12-10,0.3556187766714083,0.6859016348465465,0.0052981535934726745,0.862325432995158,0.8158303725489395,0.74982,1.322723,0.16129812732874171,0.04309304650601578,0.31303313455729287,1.911365,0.0009358914365933552,0.031201248049921998,0.009529236650968838,0.08766546857192951,0.14746543778801846,0.17150011147507246,0.70205,0.6050320515729322
2004-12-13,0.35829451809387325,0.6904222553471477,0.0053417376672631614,0.8681987480574053,0.8144350467689325,0.756915,1.331345,0.1622902398649745,0.04336410016239855,0.3160706101743129,1.92117,0.0009437968949082158,0.031416902293433864,0.00955940693439379,0.08825502171073533,0.14873316526485658,0.17346053772766695,0.707085,0.6078380719376358
2004-12-14,0.35682426404995543,0.6905342940046432,0.005369848301785475,0.8676413170795192,0.8091564139806046,0.7548590000000001,1.330536,0.1616318350062228,0.043457476858893576,0.3174250480105385,1.9242849999999998,0.0009438414346389807,0.031225604996096792,0.009496026862360788,0.08830801836806783,0.14829644459274088,0.17383746197305522,0.706615,0.6062645314029871
2004-12-15,0.3619909502262444,0.7005872322180451,0.005415064710023284,0.8759827431399602,0.8158037502498399,0.7617970000000001,1.338745,0.16319070465746272,0.043738409321529795,0.3219730508556434,1.9378549999999999,0.000941132182014964,0.03130380341211458,0.009601886578674978,0.08893473968801693,0.14920362564810324,0.17361563235153693,0.715105,0.610672105719555
2004-12-16,0.36029544226265536,0.6964772875274151,0.005341309689135776,0.8649508924130833,0.8105796860624875,0.7549100000000001,1.324645,0.16152218507211966,0.04324866685984405,0.31809651048128,1.927305,0.0009446884889707619,0.031333228889237036,0.009565332175290452,0.08834078340606726,0.14731120228037742,0.17228457966869673,0.7078,0.6072843760912141
2004-12-17,0.36405999708752,0.7010213881625528,0.005387640752114649,0.8656284895648486,0.81475355741772,0.762205,1.3311439999999999,0.16189350645145623,0.043681474686585425,0.3191268688867259,1.938041,0.0009419743782969104,0.03132832080200502,0.009618603147976437,0.08862655428819582,0.1482261040991929,0.1724137931034483,0.712115,0.6084020320627871
2004-12-20,0.3686907790436161,0.708439067864212,0.005431978054808659,0.8719802234885312,0.8135074781674929,0.7617250000000001,1.3396379999999999,0.16216654504175787,0.04394233008599514,0.3238813946332853,1.941745,0.0009454923651491513,0.031333228889237036,0.009630042651458904,0.08905115989135759,0.14973982705049976,0.17414928076347044,0.713735,0.6099494961817161
2004-12-21,0.365724317009838,0.7039645877653771,0.005416384563303994,0.86852298980354,0.8123707822724449,0.76292,1.3373329999999999,0.16183324702226826,0.043742427092309646,0.32433309008351574,1.9243249999999998,0.0009463871669900155,0.03136270973812137,0.009602900844287042,0.08896797153024912,0.14883942458678454,0.17570678052466043,0.7075300000000001,0.6102845146407254
2004-12-22,0.36492354851658576,0.7180410690769868,0.005411841108345059,0.8685569360785523,0.8049747439174095,0.761657,1.3390279999999999,0.16147523777228762,0.043795972084447396,0.327139492279508,1.909985,0.0009482268158543524,0.03138239447669857,0.00961476520262637,0.08920606601248886,0.14830744132586854,0.1770052482056093,0.70903,0.6102677549774964
